TESTCASE	Satune_Glucose	Baseline_Glucose	SATTune_Maple	Baseline_maple
36	1.201446	13.29073476	4.373615	1.983174
38	87.881844	36.90030962	5.595936	36.29274
41	5.204671	10.32709724	9.331767	3.31235
42	94.830051	4.572925097	824.9416	36.29495
43	26.248466	395.9355038	2000.1	10.78069
44	1.260453	19.97887125	71.71665	43.68695
45	0.199359	5.466180124	7.883364	51.93464
46	19.614112	96.86368767	13.93856	86.40427
47	251.631953	635.2231934	421.5825	5000.01
48	0.668454	17.70918951	32.37027	1433.621
49	853.945892	44.58650251	192.3233	1423.272
50	300.893226	163.1499186	1625.849	5000.011
