Benchmark	SATTune	Baseline	SATTuneParallel
2-25-4.killer	0.392448	0.3208	0.280443
2-25-5.killer	0.329036	0.36964	0.329036
2-25.killer	0.490343	0.39812	0.334828
2-36-2.killer	2.586829	1.26012	2.586829
2-36-3.killer	2.211826	1.9757	2.211826
2-36-4.killer	2.355864	1.092	2.093049
2-36-5.killer	2.62119	1.5429	1.985036
2-36.killer	1.835793	18.83457	75.551808
4-16-2.killer	0.158789	0.2508	0.155751
4-16-3.killer	0.258451	0.39125	0.258451
4-16.killer	75.614195	12.47243	10.305002
5-16.killer	4.01785	4.6701	4.01785
6-16.killer	69.944729	49.90206	32.941908
