Benchmark	SATTune	Z3	SMTRat	MathSAT	Alloy	Baseline
2-25-4.killer	0.280443	78.50996	2000.296	242.5296	2000	0.3208
2-25-5.killer	0.598106	120.9938	2000.289	218.1529	2000	0.36964
2-25.killer	0.490343	151.3594	2000.299	812.9885	2000	0.39812
2-36-2.killer	2.72754	2000.941	2000.84	2000.856	2000	1.26012
2-36-3.killer	2.538472	2000.954	2000.854	2000.844	2000	1.9757
2-36-4.killer	2.355864	2000.946	2000.85	2000.845	2000	1.092
2-36-5.killer	1.985036	2000.947	2000.851	2000.852	2000	1.5429
2-36.killer	2.471576	2000.944	2000.848	2000.858	2000	18.83457
4-16-2.killer	0.158789	80.93115	2000.123	210.585	2000	0.2508
4-16-3.killer	0.283927	181.7593	2000.129	130.1238	2000	0.39125
4-16.killer	10.305002	2000.144	2000.132	2000.136	2000	12.47243
5-16.killer	4.01785	169.0675	2000.19	2000.195	2000	4.6701
6-16.killer	32.941908	2000.263	2000.249	2000.258	2000	49.90206
