TestCases	Original	Original	Strategy1	Strategy1	Strategy2	Strategy2	Strategy3	Strategy3	Strategy1	Strategy1	Strategy2	Strategy2	Strategy3	Strategy3	Strategy1	Strategy1	Strategy2	Strategy2	Strategy3	Strategy3
64	0.488556	7.12E-01	1.087135	1.340238	1.096461	1.359409	0.709752	1.115065	0.534341	0.938517	1.086905	1.34529	1.078537	1.335325	0.540991	0.944436	1.08288	1.342822	1.030824	1.405155
96	2.31981	3.03E+00	5.480606	6.403989	6.37609	7.302586	2.718496	4.329968	2.687931	4.31841	6.175435	7.104992	6.442713	7.38793	2.665483	4.296544	6.129509	7.063068	2.014181	3.562397
112	4.05775	5.245128	11.49339	12.98365	11.38696	12.89582	4.868377	7.62679	4.788596	7.57544	11.21524	12.7371	11.16256	12.67509	4.802045	7.565962	11.24373	12.77069	12.63105	15.28169
128	7.59497	9.21382	20.31691	22.59743	18.23089	20.57922	9.256322	13.70124	8.806481	13.26401	18.29444	20.7918	18.08664	20.42772	8.848767	13.37696	18.24688	20.59627	81.50907	85.72629
144	0.097035	2.542552	30.6947	34.09539	33.82983	37.28177	0.087197	6.851376	0.085165	6.927921	30.34019	33.83427	29.4921	33.35121	0.084316	6.88775	30.14193	33.6116	478.5024	485.0224
160	0.10241	3.197937	1.033054	5.795766	1.120085	5.983717	0.094073	10.22887	0.05203	10.63499	1.225655	6.115786	0.746568	5.585486	0.054749	10.45238	1.383964	6.427554	75.96941	85.9784
192	0.106391	5.637116	1.286218	9.99556	1.642978	10.56163	0.114286	19.4099	0.217227	19.91543	1.364271	10.25992	4.538922	13.86508	0.204876	19.76294	1.346592	10.82535	3600.1	3619.039
224	0.148216	9.544208	12.33771	27.01719	2.015997	17.40491	0.264071	34.01314	0.352181	34.4311	3.668907	18.5831	3.652432	18.52379	0.361321	34.8424	3.557536	18.58002	3600.05	3632.747
256	0.604408	13.30246	55.3095	78.56673	5.345216	29.41129	0.337065	56.03433	0.321278	56.70717	5.412309	28.79838	3.893796	27.4354	0.332647	55.74375	5.438204	29.43694	3600.1	3653.604
288	0.574423	20.37853	13.49797	49.94649	42.89572	78.16737	0.34254	86.53981	0.338154	88.77651	7.513357	43.57935	8.014861	43.78559	0.337932	88.0783	7.516032	42.83744	3600.1	3684.4
320	0.234215	25.37061	53.17631	104.0768	7.787932	58.26457	0.360831	128.1117	0.371575	129.3807	12.32456	65.28349	32.23818	85.64669	0.358726	132.4532	12.24672	65.39886	3600.097	3726.189
352	1.51244	37.725	12.08134	82.4921	38.42614	109.875	0.338363	183.289	0.338321	185.8436	126.7101	200.1131	14.03879	86.10382	0.343985	188.1382	123.8341	199.2417	3600.1	3780.436
384	0.802679	44.852	16.77472	113.6593	20.19981	115.8474	0.442951	254.459	0.442338	259.2147	20.50595	117.6072	18.46082	116.5435	0.449236	258.6345	19.8759	118.3903	3600.097	3852.446
