Problem	SATune	Alloy	Z3	SMTRat	MathSAT
64	0.938517	506.8653	29.4248	1000.737	61.05934
96	4.31841	1000	61.42555	1000	847.0452
112	7.57544	1000	51.55505	1000	1000
128	13.26401	1000	149.3015	1000	1000
144	6.927921	1000	65.13302	1000	1000
160	5.585486	1000	522.925	1000	1000
192	10.25992	1000	1000	1000	1000
224	18.52379	1000	669.8746	1000	1000
256	27.4354	1000	1000	1000	1000
288	43.57935	1000	1000	1000	1000
320	65.28349	1000	1000	1000	1000
352	86.10382	1000	1000	1000	1000
384	116.5435	1000	1000	1000	1000
