TESTCASE	SATTune_Glucose	Baseline_Glucose	SATTune_Maple	Baseline_Maple
36x36-590	275.502592	304.0043	1280.527	876.7158
36x36-591	185.05617	168.0306	650.5804	1493.812
36x36-592	101.401317	76.53965	573.6551	89.08978
36x36-593	46.009141	42.53698	346.4657	353.74
36x36-594	242.0564	500.497	2000.099	1343.316
36x36-595	231.934072	385.2699	895.0555	1005.249
36x36-596	39.101899	53.15594	253.5369	223.4621
36x36-597	1049.767918	2000	2000.097	2819.578
36x36-598	101.324278	138.8144	520.4847	1004
36x36-599	146.342143	231.1573	557.7902	408.6113
36x36-600	41.560482	20.15834	159.8508	39.28679
36x36-892	327.22827	2000	54.99243	13.24356
36x36-896	1879.55995	2000	240.2943	71.94401
36x36-897	402.451225	1884.975	82.35184	68.71372
36x36-898	344.524581	2000	215.5933	31.53004
