Benchmark	SATTune	Baseline	SATTuneParallel
36x36-590	275.502592	304.0043	275.502592
36x36-591	185.05617	168.0306	185.05617
36x36-592	101.401317	76.53965	55.498938
36x36-593	46.009141	42.53698	34.824968
36x36-594	242.0564	500.497	242.0564
36x36-595	231.934072	385.2699	231.934072
36x36-596	39.101899	53.15594	39.101899
36x36-597	1049.767918	2000	1049.767918
36x36-598	101.324278	138.8144	101.324278
36x36-599	146.342143	231.1573	146.342143
36x36-600	41.560482	20.15834	31.747139
36x36-892	327.22827	2000	327.22827
36x36-896	1879.55995	2000	808.309119
36x36-897	402.451225	1884.975	402.451225
36x36-898	344.524581	2000	344.524581
