Benchmark	SATTune	Z3	SMTRat	MathSAT	Alloy	Baseline	SATTune-V2	Org-Solver
36x36-590	275.502592	2000.274	2000.245	2000.243	2000.651	304.0043	263.46464	1069.04636
36x36-591	185.05617	2000.272	2000.251	2000.251	2000.655	168.0306	203.31133	1351.449102
36x36-592	101.401317	2000.275	2000.248	2000.25	2000.651	76.53965	59.560466	401.18577
36x36-593	46.009141	2000.272	2000.243	2000.244	2000.655	42.53698	36.600272	351.138974
36x36-594	242.0564	2000.271	2000.247	2000.244	2000.666	500.497	369.524887	2000
36x36-595	231.934072	2000.277	2000.245	2000.247	2000.65	385.2699	330.693523	1909.468734
36x36-596	39.101899	2000.268	2000.248	2000.241	2000.655	53.15594	58.129774	690.563622
36x36-597	1049.767918	2000.264	2000.25	2000.247	2000.654	2000.005	2000	2000
36x36-598	101.324278	2000.27	2000.247	2000.244	2000.649	138.8144	125.444211	862.7093818
36x36-599	146.342143	2000.27	2000.247	2000.246	2000.653	231.1573	182.859984	993.601023
36x36-600	41.560482	2000.278	2000.248	2000.248	2000.652	20.15834	48.524155	108.5946431
36x36-892	327.22827	2000.268	2000.253	2000.25	2000.654	2000	1644.183349	24.18846202
36x36-896	1879.55995	2000.27	2000.252	2000.244	2000.655	2000	330.693523	114.3386679
36x36-897	402.451225	2000.269	2000.254	2000.242	2000.656	1884.975	1595.083269	97.10499191
36x36-898	344.524581	2000.269	2000.252	2000.248	2000.665	2000	2000	161.4945111
